TIEMPO,ADC,DAC
0.852,1.851,2.093
0.853,1.803,1.232
0.854,1.412,1.312
0.855,1.529,2.067
0.856,1.838,1.777
0.857,1.722,1.49
0.858,1.719,2.119
0.859,1.774,1.235
0.86,1.425,1.377
0.861,1.383,1.38
0.862,1.461,1.7
0.863,1.693,1.951
0.864,1.841,1.809
0.865,1.812,1.796
0.866,1.754,1.625
0.867,1.603,1.399
0.868,1.483,1.522
0.869,1.583,1.809
0.87,1.596,1.248
0.871,1.48,1.774
0.872,1.619,1.506
0.873,1.577,1.661
0.874,1.648,1.703
0.875,1.777,2.051
0.876,1.854,1.583
0.877,1.77,2.019
0.878,1.951,2.041
0.879,2.009,2.006
0.88,1.938,1.751
0.881,1.88,2.051
0.882,1.896,1.638
0.883,1.635,1.345
0.884,1.432,1.383
0.885,1.461,1.651
0.886,1.535,1.409
0.887,1.461,1.477
0.888,1.406,1.232
0.889,1.438,1.864
0.89,1.577,1.232
0.891,1.525,2.003
0.892,1.783,1.683
0.893,1.77,1.916
0.894,1.722,1.325
0.895,1.403,1.203
0.896,1.393,1.738
0.897,1.519,1.28
0.898,1.461,1.729
0.899,1.748,2.112
0.9,1.967,1.951
0.901,1.79,1.299
0.902,1.648,2.125
0.903,1.745,1.196
0.904,1.564,2.019
0.905,1.887,2.022
0.906,1.9,1.693
0.907,1.674,1.399
0.908,1.545,1.677
0.909,1.548,1.341
0.91,1.396,1.335
0.911,1.516,2.003
0.912,1.687,1.312
0.913,1.503,1.641
0.914,1.503,1.277
0.915,1.561,2.138
0.916,1.89,1.822
0.917,1.722,1.348
0.918,1.658,2.148
0.919,1.835,1.483
0.92,1.512,1.206
0.921,1.519,2.09
0.922,1.696,1.209
0.923,1.364,1.264
0.924,1.474,1.993
0.925,1.683,1.37
0.926,1.464,1.39
0.927,1.364,1.225
0.928,1.377,1.677
0.929,1.538,1.48
0.93,1.422,1.187
0.931,1.303,1.393
0.932,1.341,1.316
0.933,1.487,1.954
0.934,1.67,1.377
0.935,1.545,1.609
0.936,1.548,1.49
0.937,1.564,1.722
0.938,1.638,1.577
0.939,1.619,1.683
0.94,1.564,1.296
0.941,1.467,1.677
0.942,1.538,1.387
0.943,1.509,1.712
0.944,1.522,1.209
0.945,1.535,2.129
0.946,1.916,1.97
0.947,1.961,1.98
0.948,1.77,1.203
0.949,1.516,1.796
0.95,1.629,1.477
0.951,1.622,1.87
0.952,1.7,1.496
0.953,1.641,1.835
0.954,1.741,1.693
0.955,1.632,1.441
0.956,1.59,1.812
0.957,1.741,1.787
0.958,1.722,1.606
0.959,1.564,1.319
0.96,1.5,1.764
0.961,1.712,1.864
0.962,1.796,1.761
0.963,1.696,1.47
0.964,1.59,1.693
0.965,1.69,1.822
0.966,1.841,2.038
0.967,2.003,2.116
0.968,1.877,1.312
0.969,1.67,2.087
0.97,1.748,1.245
0.971,1.383,1.229
0.972,1.393,1.716
0.973,1.725,2.116
0.974,1.787,1.261
0.975,1.393,1.193
0.976,1.345,1.59
0.977,1.483,1.461
0.978,1.512,1.641
0.979,1.641,1.79
0.98,1.803,2.012
0.981,1.787,1.364
0.982,1.654,2.012
0.983,1.854,1.799
0.984,1.764,1.603
0.985,1.538,1.187
0.986,1.322,1.341
0.987,1.38,1.548
0.988,1.522,1.641
0.989,1.638,1.764
0.99,1.67,1.551
0.991,1.667,1.874
0.992,1.641,1.209
0.993,1.345,1.27
0.994,1.483,2.07
0.995,1.796,1.641
0.996,1.793,2.051
0.997,1.735,1.151
0.998,1.341,1.248
0.999,1.441,1.916
